	CD274	PDCD1	PDCD1LG2	CTLA4	samID	clust
TCGA-CJ-6031-01	1.4747630091075	2.20717490818939	2.8530159713524	0.959350221334602	TCGA-CJ-6031-01	3
TCGA-B0-5699-01	1.87180217690159	1.3609765531356	1.83258146374831	1.33762918913861	TCGA-B0-5699-01	2
TCGA-B0-5698-01	2.03077636969855	2.29556047805708	2.23430625224075	2.17361471169709	TCGA-B0-5698-01	2
TCGA-CJ-5686-01	2.02154756326093	2.28238238567653	2.41502052232383	1.43270073393405	TCGA-CJ-5686-01	3
TCGA-EU-5907-01	2.67069441455844	0.636576829071551	2.19944433407453	0.262364264467491	TCGA-EU-5907-01	3
TCGA-B0-5119-01	2.36368019235386	2.33988087773774	2.59674613154354	0.641853886172395	TCGA-B0-5119-01	2
TCGA-CZ-5460-01	3.06991167172824	2.905807566026	1.86562931779451	2.34851402488245	TCGA-CZ-5460-01	3
TCGA-BP-5201-01	2.02551319965428	3.70941710533148	1.80664808172181	2.17247640764703	TCGA-BP-5201-01	3
TCGA-B8-A54J-01	2.44408465526775	2.88647528761704	2.02419306744936	1.7509374747078	TCGA-B8-A54J-01	2
TCGA-CZ-5456-01	1.29746314741327	1.56861591791385	2.08691355651854	0.688134638736401	TCGA-CZ-5456-01	1
TCGA-B0-5400-01	2.22678337957776	1.89311196348834	1.79508725932073	0.792992515529661	TCGA-B0-5400-01	1
TCGA-G6-A5PC-01	0.78845736036427	2.90471287516682	0.841567185678219	0.959350221334602	TCGA-G6-A5PC-01	3
TCGA-B0-5100-01	0.815364813284194	0.908258560176891	1.7509374747078	0.104360015324243	TCGA-B0-5100-01	1
TCGA-CW-5585-01	1.78842056796254	0.548121408509688	1.8099267731835	0.122217632724249	TCGA-CW-5585-01	2
TCGA-CW-5580-01	1.90508815453506	0.797507195884188	2.6049094421827	1.07158361628019	TCGA-CW-5580-01	3
TCGA-CJ-6027-01	2.59001713419062	3.08282698040492	2.70136121295141	1.95302761682418	TCGA-CJ-6027-01	1
TCGA-BP-5200-01	2.68784749378469	2.42657107277504	2.44581926107995	1.7227665977411	TCGA-BP-5200-01	2
TCGA-BP-5173-01	2.17247640764703	2.80154054418955	2.52652832447882	1.02604159583327	TCGA-BP-5173-01	3
TCGA-A3-3367-01	2.52892353520477	1.27815220250019	2.32238772029023	1.46787434811231	TCGA-A3-3367-01	2
TCGA-B0-5099-01	1.83577635464483	0.444685821261446	1.95727390770563	0.412109650826833	TCGA-B0-5099-01	2
TCGA-DV-A4W0-01	1.6094379124341	1.26412672714568	1.74919985480926	1.51292701205326	TCGA-DV-A4W0-01	3
TCGA-B8-4153-01	1.45395300959371	1.22377543162212	2.07693841146172	0.56531380905006	TCGA-B8-4153-01	2
TCGA-B2-A4SR-01	2.70738331211451	2.36179695262589	2.42745407503992	1.87180217690159	TCGA-B2-A4SR-01	2
TCGA-CZ-5989-01	3.20071185424053	0.300104592450338	3.31454957493648	1.47247205736094	TCGA-CZ-5989-01	2
TCGA-B0-5098-01	0.693147180559945	0.712949807856125	0.431782416425538	0.746687947487975	TCGA-B0-5098-01	1
TCGA-BP-5199-01	1.76130026174335	3.79458990853605	2.3823200610129	2.71469474382088	TCGA-BP-5199-01	1
TCGA-CZ-4853-01	2.51688969564105	0.982078472412158	1.68082790852077	1.26129787094521	TCGA-CZ-4853-01	2
TCGA-B0-5115-01	2.56648663678042	0.887891257352457	2.48906465993666	1.88251383249652	TCGA-B0-5115-01	2
TCGA-B8-A54G-01	1.90359895098359	4.61412992735956	2.58926666511224	3.05116698044209	TCGA-B8-A54G-01	3
TCGA-B8-5545-01	2.0188950418118	1.20896034583698	3.00617753141553	0.841567185678219	TCGA-B8-5545-01	3
TCGA-CJ-5678-01	1.9387416595767	2.98618686071046	1.79840401194672	1.9387416595767	TCGA-CJ-5678-01	3
TCGA-B8-4621-01	1.55814461804655	0.982078472412158	1.85941811770187	0.832909122935104	TCGA-B8-4621-01	3
TCGA-B8-A54D-01	2.1540850846756	4.31267655653909	1.99061032797322	2.44755086324423	TCGA-B8-A54D-01	3
